"","x","y","timeslot","origin"
"33.3%1",42.8256533479691,0.333,"6h-11h","Measurement"
"33.4%1",42.859869260788,0.334,"6h-11h","Measurement"
"33.5%1",42.9965097784996,0.335,"6h-11h","Measurement"
"33.6%1",43.1488826560974,0.336,"6h-11h","Measurement"
"33.7%1",43.3557611846924,0.337,"6h-11h","Measurement"
"33.8%1",43.7218850946426,0.338,"6h-11h","Measurement"
"33.9%1",44.0336244666576,0.339,"6h-11h","Measurement"
"34.0%1",44.432233786583,0.34,"6h-11h","Measurement"
"34.1%1",44.8587794697285,0.341,"6h-11h","Measurement"
"34.2%1",45.2893565058709,0.342,"6h-11h","Measurement"
"34.3%1",45.6899236369133,0.343,"6h-11h","Measurement"
"34.4%1",46.1095086574554,0.344,"6h-11h","Measurement"
"34.5%1",46.5568944215775,0.345,"6h-11h","Measurement"
"34.6%1",47.0121651816369,0.346,"6h-11h","Measurement"
"34.7%1",47.5007207298279,0.347,"6h-11h","Measurement"
"34.8%1",48.0105266189575,0.348,"6h-11h","Measurement"
"34.9%1",48.502267920971,0.349,"6h-11h","Measurement"
"35.0%1",48.998095035553,0.35,"6h-11h","Measurement"
"35.1%1",49.4974816823006,0.351,"6h-11h","Measurement"
"35.2%1",49.9554957580566,0.352,"6h-11h","Measurement"
"35.3%1",50.4387183451653,0.353,"6h-11h","Measurement"
"35.4%1",50.9077123403549,0.354,"6h-11h","Measurement"
"35.5%1",51.4040673971176,0.355,"6h-11h","Measurement"
"35.6%1",51.9209743833542,0.356,"6h-11h","Measurement"
"35.7%1",52.4168100047111,0.357,"6h-11h","Measurement"
"35.8%1",52.9038607263565,0.358,"6h-11h","Measurement"
"35.9%1",53.3604539275169,0.359,"6h-11h","Measurement"
"36.0%1",53.8886480331421,0.36,"6h-11h","Measurement"
"36.1%1",54.4348321950436,0.361,"6h-11h","Measurement"
"36.2%1",54.9699100875854,0.362,"6h-11h","Measurement"
"36.3%1",55.5250544154644,0.363,"6h-11h","Measurement"
"36.4%1",56.0958781242371,0.364,"6h-11h","Measurement"
"36.5%1",56.6571886062622,0.365,"6h-11h","Measurement"
"36.6%1",57.2313827729225,0.366,"6h-11h","Measurement"
"36.7%1",57.8153335762024,0.367,"6h-11h","Measurement"
"36.8%1",58.3973077106476,0.368,"6h-11h","Measurement"
"36.9%1",59.0092649042607,0.369,"6h-11h","Measurement"
"37.0%1",59.6396913051605,0.37,"6h-11h","Measurement"
"37.1%1",60.2442309641838,0.371,"6h-11h","Measurement"
"37.2%1",60.8717345905304,0.372,"6h-11h","Measurement"
"37.3%1",61.5315283370018,0.373,"6h-11h","Measurement"
"37.4%1",62.1751871538162,0.374,"6h-11h","Measurement"
"37.5%1",62.8348872363567,0.375,"6h-11h","Measurement"
"37.6%1",63.4644344329834,0.376,"6h-11h","Measurement"
"37.7%1",64.0344014382362,0.377,"6h-11h","Measurement"
"37.8%1",64.5768782377243,0.378,"6h-11h","Measurement"
"37.9%1",65.0060622811317,0.379,"6h-11h","Measurement"
"38.0%1",65.3961750507355,0.38,"6h-11h","Measurement"
"38.1%1",65.837930290699,0.381,"6h-11h","Measurement"
"38.2%1",66.2981579780579,0.382,"6h-11h","Measurement"
"38.3%1",66.776520345211,0.383,"6h-11h","Measurement"
"38.4%1",67.2530640983582,0.384,"6h-11h","Measurement"
"38.5%1",67.694425368309,0.385,"6h-11h","Measurement"
"38.6%1",68.0866153526306,0.386,"6h-11h","Measurement"
"38.7%1",68.378866237402,0.387,"6h-11h","Measurement"
"38.8%1",68.5797920942307,0.388,"6h-11h","Measurement"
"38.9%1",68.7205184030533,0.389,"6h-11h","Measurement"
"39.0%1",69.0418654084206,0.39,"6h-11h","Measurement"
"39.1%1",69.3625908732414,0.391,"6h-11h","Measurement"
"39.2%1",69.71793674469,0.392,"6h-11h","Measurement"
"39.3%1",70.1366080904007,0.393,"6h-11h","Measurement"
"39.4%1",70.6357672524452,0.394,"6h-11h","Measurement"
"39.5%1",71.2101477205753,0.395,"6h-11h","Measurement"
"39.6%1",71.6787345027924,0.396,"6h-11h","Measurement"
"39.7%1",72.0899887228012,0.397,"6h-11h","Measurement"
"39.8%1",72.5674438977242,0.398,"6h-11h","Measurement"
"39.9%1",72.9953270208836,0.399,"6h-11h","Measurement"
"40.0%1",73.2705438137054,0.4,"6h-11h","Measurement"
"40.1%1",73.4367466890812,0.401,"6h-11h","Measurement"
"40.2%1",73.6159528541565,0.402,"6h-11h","Measurement"
"40.3%1",73.908397204876,0.403,"6h-11h","Measurement"
"40.4%1",74.3466619110107,0.404,"6h-11h","Measurement"
"40.5%1",74.7987370014191,0.405,"6h-11h","Measurement"
"40.6%1",75.2745356154442,0.406,"6h-11h","Measurement"
"40.7%1",75.6959106481075,0.407,"6h-11h","Measurement"
"40.8%1",76.2311101818085,0.408,"6h-11h","Measurement"
"40.9%1",76.8131425178051,0.409,"6h-11h","Measurement"
"41.0%1",77.4290577530863,0.41,"6h-11h","Measurement"
"41.1%1",78.0984562003613,0.411,"6h-11h","Measurement"
"41.2%1",78.7731869697571,0.412,"6h-11h","Measurement"
"41.3%1",79.4437663805485,0.413,"6h-11h","Measurement"
"41.4%1",80.1124619841576,0.414,"6h-11h","Measurement"
"41.5%1",80.7796148180962,0.415,"6h-11h","Measurement"
"41.6%1",81.4196334838867,0.416,"6h-11h","Measurement"
"41.7%1",82.0985402059555,0.417,"6h-11h","Measurement"
"41.8%1",82.8194250965118,0.418,"6h-11h","Measurement"
"41.9%1",83.5673854005337,0.419,"6h-11h","Measurement"
"42.0%1",84.3412114858627,0.42,"6h-11h","Measurement"
"42.1%1",85.1667304837704,0.421,"6h-11h","Measurement"
"42.2%1",85.9966585612297,0.422,"6h-11h","Measurement"
"42.3%1",86.8275792813301,0.423,"6h-11h","Measurement"
"42.4%1",87.668264131546,0.424,"6h-11h","Measurement"
"42.5%1",88.4655615985394,0.425,"6h-11h","Measurement"
"42.6%1",89.2649091243744,0.426,"6h-11h","Measurement"
"42.7%1",90.0122733211517,0.427,"6h-11h","Measurement"
"42.8%1",90.7691546058655,0.428,"6h-11h","Measurement"
"42.9%1",91.5950965535641,0.429,"6h-11h","Measurement"
"43.0%1",92.4524339675903,0.43,"6h-11h","Measurement"
"43.1%1",93.2806325423717,0.431,"6h-11h","Measurement"
"43.2%1",94.0792030715942,0.432,"6h-11h","Measurement"
"43.3%1",94.8057574808598,0.433,"6h-11h","Measurement"
"43.4%1",95.5828206634521,0.434,"6h-11h","Measurement"
"43.5%1",96.3455593466759,0.435,"6h-11h","Measurement"
"43.6%1",97.175052075386,0.436,"6h-11h","Measurement"
"43.7%1",97.995830655098,0.437,"6h-11h","Measurement"
"43.8%1",98.8380804753303,0.438,"6h-11h","Measurement"
"43.9%1",99.6280357670784,0.439,"6h-11h","Measurement"
"44.0%1",100.381449079514,0.44,"6h-11h","Measurement"
"44.1%1",101.215864892006,0.441,"6h-11h","Measurement"
"44.2%1",102.014553365707,0.442,"6h-11h","Measurement"
"44.3%1",102.831737947464,0.443,"6h-11h","Measurement"
"44.4%1",103.701591229439,0.444,"6h-11h","Measurement"
"44.5%1",104.625422638655,0.445,"6h-11h","Measurement"
"44.6%1",105.559745905399,0.446,"6h-11h","Measurement"
"44.7%1",106.513525421619,0.447,"6h-11h","Measurement"
"44.8%1",107.508631286621,0.448,"6h-11h","Measurement"
"44.9%1",108.519046323299,0.449,"6h-11h","Measurement"
"45.0%1",109.499398767948,0.45,"6h-11h","Measurement"
"45.1%1",110.376184082031,0.451,"6h-11h","Measurement"
"45.2%1",111.141163582802,0.452,"6h-11h","Measurement"
"45.3%1",111.639061524868,0.453,"6h-11h","Measurement"
"45.4%1",112.440316569805,0.454,"6h-11h","Measurement"
"45.5%1",113.399573194981,0.455,"6h-11h","Measurement"
"45.6%1",114.276902236938,0.456,"6h-11h","Measurement"
"45.7%1",115.259610655308,0.457,"6h-11h","Measurement"
"45.8%1",116.338140456676,0.458,"6h-11h","Measurement"
"45.9%1",117.406067005396,0.459,"6h-11h","Measurement"
"46.0%1",118.499727725983,0.46,"6h-11h","Measurement"
"46.1%1",119.634307632446,0.461,"6h-11h","Measurement"
"46.2%1",120.737124798298,0.462,"6h-11h","Measurement"
"46.3%1",121.296263448,0.463,"6h-11h","Measurement"
"46.4%1",121.620638456345,0.464,"6h-11h","Measurement"
"46.5%1",122.583200836182,0.465,"6h-11h","Measurement"
"46.6%1",123.573728775978,0.466,"6h-11h","Measurement"
"46.7%1",124.633287656307,0.467,"6h-11h","Measurement"
"46.8%1",125.679268779755,0.468,"6h-11h","Measurement"
"46.9%1",126.5755156672,0.469,"6h-11h","Measurement"
"47.0%1",127.434677052498,0.47,"6h-11h","Measurement"
"47.1%1",128.364902018309,0.471,"6h-11h","Measurement"
"47.2%1",129.369119825363,0.472,"6h-11h","Measurement"
"47.3%1",130.324582946301,0.473,"6h-11h","Measurement"
"47.4%1",131.260253720284,0.474,"6h-11h","Measurement"
"47.5%1",132.15255638957,0.475,"6h-11h","Measurement"
"47.6%1",133.154494857788,0.476,"6h-11h","Measurement"
"47.7%1",134.201466774941,0.477,"6h-11h","Measurement"
"47.8%1",135.149121117592,0.478,"6h-11h","Measurement"
"47.9%1",136.30949950099,0.479,"6h-11h","Measurement"
"48.0%1",137.530571985245,0.48,"6h-11h","Measurement"
"48.1%1",138.77714273572,0.481,"6h-11h","Measurement"
"48.2%1",140.058400263786,0.482,"6h-11h","Measurement"
"48.3%1",141.391460067034,0.483,"6h-11h","Measurement"
"48.4%1",142.736622977257,0.484,"6h-11h","Measurement"
"48.5%1",144.107733714581,0.485,"6h-11h","Measurement"
"48.6%1",145.456592442989,0.486,"6h-11h","Measurement"
"48.7%1",146.814858077764,0.487,"6h-11h","Measurement"
"48.8%1",148.231220941544,0.488,"6h-11h","Measurement"
"48.9%1",149.647306592464,0.489,"6h-11h","Measurement"
"49.0%1",151.093315911293,0.49,"6h-11h","Measurement"
"49.1%1",152.512507358789,0.491,"6h-11h","Measurement"
"49.2%1",153.960023145676,0.492,"6h-11h","Measurement"
"49.3%1",155.264698359966,0.493,"6h-11h","Measurement"
"49.4%1",156.446982965469,0.494,"6h-11h","Measurement"
"49.5%1",157.690389192104,0.495,"6h-11h","Measurement"
"49.6%1",158.99198097229,0.496,"6h-11h","Measurement"
"49.7%1",160.37144397974,0.497,"6h-11h","Measurement"
"49.8%1",161.782070088387,0.498,"6h-11h","Measurement"
"49.9%1",163.27322314024,0.499,"6h-11h","Measurement"
"50.0%1",164.711518287659,0.5,"6h-11h","Measurement"
"50.1%1",166.120172368288,0.501,"6h-11h","Measurement"
"50.2%1",167.584183149338,0.502,"6h-11h","Measurement"
"50.3%1",169.020793677568,0.503,"6h-11h","Measurement"
"50.4%1",170.432852144241,0.504,"6h-11h","Measurement"
"50.5%1",171.95997645855,0.505,"6h-11h","Measurement"
"50.6%1",173.525842449665,0.506,"6h-11h","Measurement"
"50.7%1",175.132361204624,0.507,"6h-11h","Measurement"
"50.8%1",176.808076210022,0.508,"6h-11h","Measurement"
"50.9%1",178.447887539864,0.509,"6h-11h","Measurement"
"51.0%1",180.152466011047,0.51,"6h-11h","Measurement"
"51.1%1",181.954896323681,0.511,"6h-11h","Measurement"
"51.2%1",183.713958911896,0.512,"6h-11h","Measurement"
"51.3%1",185.38098767519,0.513,"6h-11h","Measurement"
"51.4%1",187.094445407391,0.514,"6h-11h","Measurement"
"51.5%1",188.796424263716,0.515,"6h-11h","Measurement"
"51.6%1",190.647420606613,0.516,"6h-11h","Measurement"
"51.7%1",192.436312782764,0.517,"6h-11h","Measurement"
"51.8%1",194.130938806534,0.518,"6h-11h","Measurement"
"51.9%1",195.935821700096,0.519,"6h-11h","Measurement"
"52.0%1",197.620006036758,0.52,"6h-11h","Measurement"
"52.1%1",199.284134640694,0.521,"6h-11h","Measurement"
"52.2%1",201.054080803394,0.522,"6h-11h","Measurement"
"52.3%1",203.008986461163,0.523,"6h-11h","Measurement"
"52.4%1",205.027986154556,0.524,"6h-11h","Measurement"
"52.5%1",206.917658925056,0.525,"6h-11h","Measurement"
"52.6%1",208.924488835335,0.526,"6h-11h","Measurement"
"52.7%1",210.955048832893,0.527,"6h-11h","Measurement"
"52.8%1",212.936028118134,0.528,"6h-11h","Measurement"
"52.9%1",214.986935073137,0.529,"6h-11h","Measurement"
"53.0%1",217.07367143631,0.53,"6h-11h","Measurement"
"53.1%1",219.310799483061,0.531,"6h-11h","Measurement"
"53.2%1",221.629137711525,0.532,"6h-11h","Measurement"
"53.3%1",223.908877674341,0.533,"6h-11h","Measurement"
"53.4%1",226.279117264748,0.534,"6h-11h","Measurement"
"53.5%1",228.676066148281,0.535,"6h-11h","Measurement"
"53.6%1",231.084659528732,0.536,"6h-11h","Measurement"
"53.7%1",233.491439359188,0.537,"6h-11h","Measurement"
"53.8%1",235.821135692596,0.538,"6h-11h","Measurement"
"53.9%1",238.000744884014,0.539,"6h-11h","Measurement"
"54.0%1",240.18095600605,0.54,"6h-11h","Measurement"
"54.1%1",242.481203887463,0.541,"6h-11h","Measurement"
"54.2%1",244.746218822002,0.542,"6h-11h","Measurement"
"54.3%1",247.011929757595,0.543,"6h-11h","Measurement"
"54.4%1",249.3589041996,0.544,"6h-11h","Measurement"
"54.5%1",251.558577483893,0.545,"6h-11h","Measurement"
"54.6%1",254.035352711678,0.546,"6h-11h","Measurement"
"54.7%1",256.673806368113,0.547,"6h-11h","Measurement"
"54.8%1",259.28156293869,0.548,"6h-11h","Measurement"
"54.9%1",262.045251995325,0.549,"6h-11h","Measurement"
"55.0%1",264.704019784928,0.55,"6h-11h","Measurement"
"55.1%1",267.113195078373,0.551,"6h-11h","Measurement"
"55.2%1",269.877483568192,0.552,"6h-11h","Measurement"
"55.3%1",272.743968126774,0.553,"6h-11h","Measurement"
"55.4%1",275.7668948555,0.554,"6h-11h","Measurement"
"55.5%1",278.388640838862,0.555,"6h-11h","Measurement"
"55.6%1",281.443289504051,0.556,"6h-11h","Measurement"
"55.7%1",284.575997612476,0.557,"6h-11h","Measurement"
"55.8%1",287.664965105057,0.558,"6h-11h","Measurement"
"55.9%1",290.759265332222,0.559,"6h-11h","Measurement"
"56.0%1",293.874200439453,0.56,"6h-11h","Measurement"
"56.1%1",296.845053963661,0.561,"6h-11h","Measurement"
"56.2%1",297.650667819977,0.562,"6h-11h","Measurement"
"56.3%1",297.892316792011,0.563,"6h-11h","Measurement"
"56.4%1",298.050238060951,0.564,"6h-11h","Measurement"
"56.5%1",298.195187228918,0.565,"6h-11h","Measurement"
"56.6%1",298.360562722683,0.566,"6h-11h","Measurement"
"56.7%1",298.556450315714,0.567,"6h-11h","Measurement"
"56.8%1",298.782336597443,0.568,"6h-11h","Measurement"
"56.9%1",299.093216347694,0.569,"6h-11h","Measurement"
"57.0%1",299.756536769867,0.57,"6h-11h","Measurement"
"57.1%1",301.668311275244,0.571,"6h-11h","Measurement"
"57.2%1",303.471491107941,0.572,"6h-11h","Measurement"
"57.3%1",304.790663896799,0.573,"6h-11h","Measurement"
"57.4%1",307.022483558655,0.574,"6h-11h","Measurement"
"57.5%1",309.436253577471,0.575,"6h-11h","Measurement"
"57.6%1",311.249559154511,0.576,"6h-11h","Measurement"
"57.7%1",313.146197413206,0.577,"6h-11h","Measurement"
"57.8%1",314.974796886444,0.578,"6h-11h","Measurement"
"57.9%1",316.818936537504,0.579,"6h-11h","Measurement"
"58.0%1",319.460854673385,0.58,"6h-11h","Measurement"
"58.1%1",322.323240277767,0.581,"6h-11h","Measurement"
"58.2%1",325.276148905754,0.582,"6h-11h","Measurement"
"58.3%1",328.071290260553,0.583,"6h-11h","Measurement"
"58.4%1",331.418189382553,0.584,"6h-11h","Measurement"
"58.5%1",333.999570775032,0.585,"6h-11h","Measurement"
"58.6%1",335.219723165035,0.586,"6h-11h","Measurement"
"58.7%1",336.035483424664,0.587,"6h-11h","Measurement"
"58.8%1",336.788970937728,0.588,"6h-11h","Measurement"
"58.9%1",339.205384027958,0.589,"6h-11h","Measurement"
"59.0%1",342.428670632839,0.59,"6h-11h","Measurement"
"59.1%1",345.533953545094,0.591,"6h-11h","Measurement"
"59.2%1",348.049415597916,0.592,"6h-11h","Measurement"
"59.3%1",350.931908525228,0.593,"6h-11h","Measurement"
"59.4%1",354.190409235954,0.594,"6h-11h","Measurement"
"59.5%1",357.845062953234,0.595,"6h-11h","Measurement"
"59.6%1",361.612378869057,0.596,"6h-11h","Measurement"
"59.7%1",365.52654617548,0.597,"6h-11h","Measurement"
"59.8%1",369.444873673916,0.598,"6h-11h","Measurement"
"59.9%1",373.508400189876,0.599,"6h-11h","Measurement"
"60.0%1",377.614865064621,0.6,"6h-11h","Measurement"
"60.1%1",381.751359858513,0.601,"6h-11h","Measurement"
"60.2%1",386.12884606123,0.602,"6h-11h","Measurement"
"60.3%1",390.60111825943,0.603,"6h-11h","Measurement"
"60.4%1",394.988916420936,0.604,"6h-11h","Measurement"
"60.5%1",399.200748127699,0.605,"6h-11h","Measurement"
"60.6%1",403.761566734314,0.606,"6h-11h","Measurement"
"60.7%1",408.434776210784,0.607,"6h-11h","Measurement"
"60.8%1",413.149052371979,0.608,"6h-11h","Measurement"
"60.9%1",417.873532844782,0.609,"6h-11h","Measurement"
"61.0%1",422.666430950165,0.61,"6h-11h","Measurement"
"61.1%1",427.004424880743,0.611,"6h-11h","Measurement"
"61.2%1",431.658926100731,0.612,"6h-11h","Measurement"
"61.3%1",436.378516536951,0.613,"6h-11h","Measurement"
"61.4%1",441.210075526238,0.614,"6h-11h","Measurement"
"61.5%1",446.220215058327,0.615,"6h-11h","Measurement"
"61.6%1",451.619827642441,0.616,"6h-11h","Measurement"
"61.7%1",457.11538849473,0.617,"6h-11h","Measurement"
"61.8%1",462.673014581203,0.618,"6h-11h","Measurement"
"61.9%1",468.10697447896,0.619,"6h-11h","Measurement"
"62.0%1",473.65820441246,0.62,"6h-11h","Measurement"
"62.1%1",479.455168709755,0.621,"6h-11h","Measurement"
"62.2%1",485.316018750668,0.622,"6h-11h","Measurement"
"62.3%1",490.555946388244,0.623,"6h-11h","Measurement"
"62.4%1",495.992926559448,0.624,"6h-11h","Measurement"
"62.5%1",501.389623343945,0.625,"6h-11h","Measurement"
"62.6%1",506.476729502678,0.626,"6h-11h","Measurement"
"62.7%1",512.127765638829,0.627,"6h-11h","Measurement"
"62.8%1",518.553925170898,0.628,"6h-11h","Measurement"
"62.9%1",525.198744989633,0.629,"6h-11h","Measurement"
"63.0%1",531.844810557366,0.63,"6h-11h","Measurement"
"63.1%1",538.576768602133,0.631,"6h-11h","Measurement"
"63.2%1",545.449143486024,0.632,"6h-11h","Measurement"
"63.3%1",551.675013070107,0.633,"6h-11h","Measurement"
"63.4%1",556.564218466282,0.634,"6h-11h","Measurement"
"63.5%1",562.202128189803,0.635,"6h-11h","Measurement"
"63.6%1",568.95762008667,0.636,"6h-11h","Measurement"
"63.7%1",575.772877603769,0.637,"6h-11h","Measurement"
"63.8%1",583.040617399216,0.638,"6h-11h","Measurement"
"63.9%1",589.919767713547,0.639,"6h-11h","Measurement"
"64.0%1",595.708116197589,0.64,"6h-11h","Measurement"
"64.1%1",600.919340711832,0.641,"6h-11h","Measurement"
"64.2%1",602.32915730238,0.642,"6h-11h","Measurement"
"64.3%1",602.549561445713,0.643,"6h-11h","Measurement"
"64.4%1",602.675339355469,0.644,"6h-11h","Measurement"
"64.5%1",602.841218298674,0.645,"6h-11h","Measurement"
"64.6%1",605.002240946293,0.646,"6h-11h","Measurement"
"64.7%1",610.555435546637,0.647,"6h-11h","Measurement"
"64.8%1",616.27289642334,0.648,"6h-11h","Measurement"
"64.9%1",623.493836916686,0.649,"6h-11h","Measurement"
"65.0%1",631.228954136372,0.65,"6h-11h","Measurement"
"65.1%1",639.025653071405,0.651,"6h-11h","Measurement"
"65.2%1",647.23812980175,0.652,"6h-11h","Measurement"
"65.3%1",655.450183129311,0.653,"6h-11h","Measurement"
"65.4%1",663.959734508992,0.654,"6h-11h","Measurement"
"65.5%1",672.731323969364,0.655,"6h-11h","Measurement"
"65.6%1",681.096903181076,0.656,"6h-11h","Measurement"
"65.7%1",690.002407131196,0.657,"6h-11h","Measurement"
"65.8%1",699.267692639828,0.658,"6h-11h","Measurement"
"65.9%1",708.587202819586,0.659,"6h-11h","Measurement"
"66.0%1",718.194133996964,0.66,"6h-11h","Measurement"
"66.1%1",727.617979588509,0.661,"6h-11h","Measurement"
"66.2%1",737.177499876022,0.662,"6h-11h","Measurement"
"66.3%1",747.043013495207,0.663,"6h-11h","Measurement"
"66.4%1",756.72086397171,0.664,"6h-11h","Measurement"
"66.5%1",766.981313347817,0.665,"6h-11h","Measurement"
"66.6%1",777.2392426157,0.666,"6h-11h","Measurement"
"66.7%1",787.791166430712,0.667,"6h-11h","Measurement"
"66.8%1",798.068511519434,0.668,"6h-11h","Measurement"
"66.9%1",808.534539436102,0.669,"6h-11h","Measurement"
"67.0%1",818.986559128762,0.67,"6h-11h","Measurement"
"67.1%1",830.011400808097,0.671,"6h-11h","Measurement"
"67.2%1",836.407526950836,0.672,"6h-11h","Measurement"
"67.3%1",844.192115777731,0.673,"6h-11h","Measurement"
"67.4%1",854.163179936409,0.674,"6h-11h","Measurement"
"67.5%1",864.340688675642,0.675,"6h-11h","Measurement"
"67.6%1",875.111183419228,0.676,"6h-11h","Measurement"
"67.7%1",886.850880153179,0.677,"6h-11h","Measurement"
"67.8%1",896.897866919041,0.678,"6h-11h","Measurement"
"67.9%1",902.529614510536,0.679,"6h-11h","Measurement"
"68.0%1",909.035859441758,0.68,"6h-11h","Measurement"
"68.1%1",920.280931594373,0.681,"6h-11h","Measurement"
"68.2%1",932.136872563362,0.682,"6h-11h","Measurement"
"68.3%1",944.037873870134,0.683,"6h-11h","Measurement"
"68.4%1",956.966334123612,0.684,"6h-11h","Measurement"
"68.5%1",969.992658931017,0.685,"6h-11h","Measurement"
"68.6%1",983.615484206677,0.686,"6h-11h","Measurement"
"68.7%1",997.2372966218,0.687,"6h-11h","Measurement"
"68.8%1",1011.15825491905,0.688,"6h-11h","Measurement"
"68.9%1",1024.96194806814,0.689,"6h-11h","Measurement"
"69.0%1",1038.70197076798,0.69,"6h-11h","Measurement"
"69.1%1",1053.01270770788,0.691,"6h-11h","Measurement"
"69.2%1",1068.03810626984,0.692,"6h-11h","Measurement"
"69.3%1",1083.23922492028,0.693,"6h-11h","Measurement"
"69.4%1",1098.22933035135,0.694,"6h-11h","Measurement"
"69.5%1",1114.05814119578,0.695,"6h-11h","Measurement"
"69.6%1",1129.89149530411,0.696,"6h-11h","Measurement"
"69.7%1",1145.92923578382,0.697,"6h-11h","Measurement"
"69.8%1",1161.51537379027,0.698,"6h-11h","Measurement"
"69.9%1",1177.66667070031,0.699,"6h-11h","Measurement"
"70.0%1",1194.19890832901,0.7,"6h-11h","Measurement"
"70.1%1",1203.4536448276,0.701,"6h-11h","Measurement"
"70.2%1",1217.56532801628,0.702,"6h-11h","Measurement"
"70.3%1",1233.30966562748,0.703,"6h-11h","Measurement"
"70.4%1",1249.2070619297,0.704,"6h-11h","Measurement"
"70.5%1",1266.31782025099,0.705,"6h-11h","Measurement"
"70.6%1",1284.07940694809,0.706,"6h-11h","Measurement"
"70.7%1",1301.92272093892,0.707,"6h-11h","Measurement"
"70.8%1",1320.33822075367,0.708,"6h-11h","Measurement"
"70.9%1",1338.13334262133,0.709,"6h-11h","Measurement"
"71.0%1",1356.46980806589,0.71,"6h-11h","Measurement"
"71.1%1",1375.6332844162,0.711,"6h-11h","Measurement"
"71.2%1",1394.98067164421,0.712,"6h-11h","Measurement"
"71.3%1",1415.06480575561,0.713,"6h-11h","Measurement"
"71.4%1",1434.35437083006,0.714,"6h-11h","Measurement"
"71.5%1",1453.27671101689,0.715,"6h-11h","Measurement"
"71.6%1",1472.70562853813,0.716,"6h-11h","Measurement"
"71.7%1",1492.33958073378,0.717,"6h-11h","Measurement"
"71.8%1",1508.32176858902,0.718,"6h-11h","Measurement"
"71.9%1",1528.74528807998,0.719,"6h-11h","Measurement"
"72.0%1",1549.68319716454,0.72,"6h-11h","Measurement"
"72.1%1",1571.14143947005,0.721,"6h-11h","Measurement"
"72.2%1",1593.56459457159,0.722,"6h-11h","Measurement"
"72.3%1",1615.68624251604,0.723,"6h-11h","Measurement"
"72.4%1",1638.33644176482,0.724,"6h-11h","Measurement"
"72.5%1",1661.22547113895,0.725,"6h-11h","Measurement"
"72.6%1",1683.06895387888,0.726,"6h-11h","Measurement"
"72.7%1",1705.41945064902,0.727,"6h-11h","Measurement"
"72.8%1",1728.64336974144,0.728,"6h-11h","Measurement"
"72.9%1",1750.79504594564,0.729,"6h-11h","Measurement"
"73.0%1",1772.43607203961,0.73,"6h-11h","Measurement"
"73.1%1",1793.80407845855,0.731,"6h-11h","Measurement"
"73.2%1",1801.5518620348,0.732,"6h-11h","Measurement"
"73.3%1",1805.79959429026,0.733,"6h-11h","Measurement"
"73.4%1",1807.0529305172,0.734,"6h-11h","Measurement"
"73.5%1",1807.815972054,0.735,"6h-11h","Measurement"
"73.6%1",1808.5528960228,0.736,"6h-11h","Measurement"
"73.7%1",1809.43193712473,0.737,"6h-11h","Measurement"
"73.8%1",1811.03830001831,0.738,"6h-11h","Measurement"
"73.9%1",1813.31085924029,0.739,"6h-11h","Measurement"
"74.0%1",1817.08587033749,0.74,"6h-11h","Measurement"
"74.1%1",1825.56780280113,0.741,"6h-11h","Measurement"
"74.2%1",1835.99576077461,0.742,"6h-11h","Measurement"
"74.3%1",1845.97803529382,0.743,"6h-11h","Measurement"
"74.4%1",1860.06290616035,0.744,"6h-11h","Measurement"
"74.5%1",1873.88332349658,0.745,"6h-11h","Measurement"
"74.6%1",1890.2153880167,0.746,"6h-11h","Measurement"
"74.7%1",1904.85337405205,0.747,"6h-11h","Measurement"
"74.8%1",1914.01270384312,0.748,"6h-11h","Measurement"
"74.9%1",1922.02070581555,0.749,"6h-11h","Measurement"
"75.0%1",1928.55192995071,0.75,"6h-11h","Measurement"
"75.1%1",1937.40610248685,0.751,"6h-11h","Measurement"
"75.2%1",1951.13060044289,0.752,"6h-11h","Measurement"
"75.3%1",1967.35178951979,0.753,"6h-11h","Measurement"
"75.4%1",1985.26948229074,0.754,"6h-11h","Measurement"
"75.5%1",2002.85657154918,0.755,"6h-11h","Measurement"
"75.6%1",2021.05942296505,0.756,"6h-11h","Measurement"
"75.7%1",2039.87480002403,0.757,"6h-11h","Measurement"
"75.8%1",2059.14132383347,0.758,"6h-11h","Measurement"
"75.9%1",2081.59655249357,0.759,"6h-11h","Measurement"
"76.0%1",2102.79747881889,0.76,"6h-11h","Measurement"
"76.1%1",2124.02202671051,0.761,"6h-11h","Measurement"
"76.2%1",2147.38764003515,0.762,"6h-11h","Measurement"
"76.3%1",2170.94051496625,0.763,"6h-11h","Measurement"
"76.4%1",2196.11098406315,0.764,"6h-11h","Measurement"
"76.5%1",2220.81710116864,0.765,"6h-11h","Measurement"
"76.6%1",2246.45359299421,0.766,"6h-11h","Measurement"
"76.7%1",2271.67519892812,0.767,"6h-11h","Measurement"
"76.8%1",2297.24067283631,0.768,"6h-11h","Measurement"
"76.9%1",2322.85666319847,0.769,"6h-11h","Measurement"
"77.0%1",2348.98774236441,0.77,"6h-11h","Measurement"
"77.1%1",2376.08216034889,0.771,"6h-11h","Measurement"
"77.2%1",2401.7859827137,0.772,"6h-11h","Measurement"
"77.3%1",2427.56766842365,0.773,"6h-11h","Measurement"
"77.4%1",2455.32380704165,0.774,"6h-11h","Measurement"
"77.5%1",2484.53095024824,0.775,"6h-11h","Measurement"
"77.6%1",2513.6707187748,0.776,"6h-11h","Measurement"
"77.7%1",2542.61063352823,0.777,"6h-11h","Measurement"
