"","type","variable","server.preparation.time"
"21189","Measurement","server.preparation.time",3.97174501419067
"21190","Measurement","server.preparation.time",2.64458990097046
"21191","Measurement","server.preparation.time",3.52949690818787
"21192","Measurement","server.preparation.time",3.20155787467957
"21193","Measurement","server.preparation.time",2.14106392860413
"21194","Measurement","server.preparation.time",4.35162997245789
"21195","Measurement","server.preparation.time",2.79894423484802
"21196","Measurement","server.preparation.time",5.58335614204407
"21197","Measurement","server.preparation.time",2.57718706130981
"21198","Measurement","server.preparation.time",2.42645287513733
"21199","Measurement","server.preparation.time",4.75665903091431
"21200","Measurement","server.preparation.time",6.49460792541504
"21201","Measurement","server.preparation.time",2.58676600456238
"21202","Measurement","server.preparation.time",2.6950671672821
"21203","Measurement","server.preparation.time",2.52255892753601
"21204","Measurement","server.preparation.time",4.00984191894531
"21205","Measurement","server.preparation.time",4.54306507110596
"21206","Measurement","server.preparation.time",2.79214406013489
"21207","Measurement","server.preparation.time",5.27421903610229
"21208","Measurement","server.preparation.time",12.7535281181335
"21209","Measurement","server.preparation.time",4.67728304862976
"21210","Measurement","server.preparation.time",3.07139086723328
"21211","Measurement","server.preparation.time",4.14644408226013
"21212","Measurement","server.preparation.time",3.47291612625122
"21213","Measurement","server.preparation.time",4.78849983215332
"21214","Measurement","server.preparation.time",2.67359399795532
"21215","Measurement","server.preparation.time",6.60635185241699
"21216","Measurement","server.preparation.time",3.33264708518982
"21217","Measurement","server.preparation.time",5.92239022254944
"21218","Measurement","server.preparation.time",3.61200404167175
"21219","Measurement","server.preparation.time",2.74830508232117
"21220","Measurement","server.preparation.time",3.43770003318787
"21221","Measurement","server.preparation.time",3.46826219558716
"21222","Measurement","server.preparation.time",3.3553581237793
"21223","Measurement","server.preparation.time",3.21236300468445
"21224","Measurement","server.preparation.time",3.10969805717468
"21225","Measurement","server.preparation.time",2.69554114341736
"21226","Measurement","server.preparation.time",2.93253707885742
"21227","Measurement","server.preparation.time",4.93199610710144
"21228","Measurement","server.preparation.time",3.53880500793457
"21229","Measurement","server.preparation.time",3.89868903160095
"21230","Measurement","server.preparation.time",2.41233801841736
"21231","Measurement","server.preparation.time",4.79929304122925
"21232","Measurement","server.preparation.time",4.74265885353088
"21233","Measurement","server.preparation.time",4.30896306037903
"21234","Measurement","server.preparation.time",4.57803010940552
"21235","Measurement","server.preparation.time",5.30867600440979
"21236","Measurement","server.preparation.time",3.09586691856384
"21237","Measurement","server.preparation.time",2.96489691734314
"21238","Measurement","server.preparation.time",2.86664986610413
"21239","Measurement","server.preparation.time",3.58645915985107
"21240","Measurement","server.preparation.time",5.00231599807739
"21241","Measurement","server.preparation.time",4.26105403900146
"21242","Measurement","server.preparation.time",6.33383703231812
"21243","Measurement","server.preparation.time",1.96291613578796
"21244","Measurement","server.preparation.time",2.77031183242798
"21245","Measurement","server.preparation.time",2.21951484680176
"21246","Measurement","server.preparation.time",2.82276916503906
"21247","Measurement","server.preparation.time",3.43763089179993
"21248","Measurement","server.preparation.time",3.92916893959045
"21249","Measurement","server.preparation.time",3.56418704986572
"21250","Measurement","server.preparation.time",7.61455607414246
"21251","Measurement","server.preparation.time",3.82479405403137
"21252","Measurement","server.preparation.time",7.74192309379578
"21253","Measurement","server.preparation.time",5.82021903991699
"21254","Measurement","server.preparation.time",6.0643892288208
"21255","Measurement","server.preparation.time",2.24554896354675
"21256","Measurement","server.preparation.time",3.46450901031494
"21257","Measurement","server.preparation.time",3.19439601898193
"21258","Measurement","server.preparation.time",5.52498006820679
"21259","Measurement","server.preparation.time",2.97342681884766
"21260","Measurement","server.preparation.time",4.87398505210876
"21261","Measurement","server.preparation.time",5.06188607215881
"21262","Measurement","server.preparation.time",6.96357417106628
"21263","Measurement","server.preparation.time",4.3419291973114
"21264","Measurement","server.preparation.time",3.85264706611633
"21265","Measurement","server.preparation.time",3.27738213539124
"21266","Measurement","server.preparation.time",3.59337210655212
"21267","Measurement","server.preparation.time",3.18183898925781
"21268","Measurement","server.preparation.time",2.5967128276825
"21269","Measurement","server.preparation.time",5.44659614562988
"21270","Measurement","server.preparation.time",3.9567232131958
"21271","Measurement","server.preparation.time",2.61169195175171
"21272","Measurement","server.preparation.time",2.53354597091675
"21273","Measurement","server.preparation.time",2.4420428276062
"21274","Measurement","server.preparation.time",3.54576301574707
"21275","Measurement","server.preparation.time",4.86373019218445
"21276","Measurement","server.preparation.time",3.08850407600403
"21277","Measurement","server.preparation.time",2.81315898895264
"21278","Measurement","server.preparation.time",2.01921319961548
"21279","Measurement","server.preparation.time",4.65273213386536
"21280","Measurement","server.preparation.time",3.82731795310974
"21281","Measurement","server.preparation.time",2.86031889915466
"21282","Measurement","server.preparation.time",5.62927722930908
